MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BCUT2D_MWHI,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA4,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,HeavyAtomCount,NHOHCount,NOCount,NumAmideBonds,NumAtomStereoCenters,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,Phi,MolLogP,MolMR,fr_C_O,fr_C_O_noCOO,fr_NH1,fr_amide,fr_ester
367.45300000000015,342.25300000000016,367.20082504,142.0,16.465307500673738,808.6624468765712,19.863596551749424,16.166209056935372,16.166209056935372,12.819011664852882,8.743378563688632,8.743378563688632,7.339337840278834,7.339337840278834,3.752929850318265,3.752929850318265,2.329065686497702,2.329065686497702,-3.140000000000001,785302.9596687404,20.17532980507414,8.989215164074048,6.260805982000726,159.34458580965554,15.37044016181271,23.200047415608203,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,29.531997720943007,19.28635638343823,7.109797541277533,9.53140013787187,11.725042507186531,5.261891554738487,15.284745645900747,5.41499046939678,27.19203322199788,25.516098957109016,47.41361932685344,11.81873314607618,15.37044016181271,5.817862777835028,0.0,36.0744471243486,6.4208216229260096,16.74610333692754,42.517056264537615,30.46231184545952,0.0,99.93,0.0,4.794537184071822,17.146574696748214,30.891648704283185,11.3129633249809,6.196843571613076,7.109797541277533,30.334689586638717,41.37274584897895,9.998754508538536,5.2049509006539125,20.63047471728208,15.045998175823405,1.3874236427561228,0.9041440119216516,9.614048981315293,2.057792238809104,7.282245522154484,1.622921809283954,27.0,2.0,7.0,1.0,0.0,6.0,2.0,7.0,7.0,6.717051134221021,2.787380000000001,103.72290000000004,1.0,1.0,2.0,1.0,0.0
367.4530000000002,342.25300000000016,367.20082504,142.0,16.4652841357745,791.4124468765712,19.86359655174942,16.166209056935372,16.166209056935372,12.81901166485288,8.74337856368863,8.74337856368863,7.335883516584885,7.335883516584885,3.7778347245451553,3.7778347245451553,2.293300550321735,2.293300550321735,-3.140000000000001,794710.2585302015,20.17532980507414,8.989215164074048,6.260805982000726,159.34458580965554,15.37044016181271,23.200047415608203,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,29.531997720943007,19.28635638343823,7.109797541277533,9.53140013787187,11.725042507186531,5.261891554738487,15.284745645900747,5.41499046939678,27.19203322199788,25.516098957109016,47.41361932685344,11.81873314607618,15.37044016181271,5.817862777835028,0.0,36.0744471243486,6.4208216229260096,16.74610333692754,42.517056264537615,30.46231184545952,0.0,99.93,0.0,4.794537184071822,17.146574696748214,30.891648704283185,11.3129633249809,6.196843571613076,7.109797541277533,30.334689586638717,41.37274584897895,9.998754508538536,5.135054025832067,20.61060247200239,15.042844529029129,1.4223146167325256,0.9269505154535068,9.607356885640096,2.0802429032907925,7.29946844617842,1.6251656058410762,27.0,2.0,7.0,1.0,0.0,6.0,2.0,7.0,7.0,6.717051134221021,2.7873800000000006,103.72290000000002,1.0,1.0,2.0,1.0,0.0
447.5430000000002,418.3110000000002,447.2382731680001,172.0,16.47751737351255,1063.966369836803,23.683587508058327,19.206900617877263,19.206900617877263,15.836649755057923,10.806162066158397,10.806162066158397,8.784185424834199,8.784185424834199,4.694633818466564,4.694633818466564,2.979783480806488,2.979783480806488,-3.93,25032825.42808603,23.727246959092028,11.08840756962346,7.609730775955006,193.4054020186724,19.937539809604065,29.80692938012112,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,29.531997720943004,31.68004352666438,12.872076480677116,9.53140013787187,11.725042507186531,5.261891554738487,24.835823814639312,5.41499046939678,33.736789627910454,25.0131833803444,66.13462654484414,11.81873314607618,15.370440161812713,5.817862777835028,0.0,45.12260971632255,12.965578028838586,16.74610333692754,42.51705626453761,49.183319063450206,0.0,117.75,0.0,4.794537184071822,17.14657469674821,37.4985306687961,17.857719730893475,6.196843571613076,12.524163646377618,41.09863280604315,46.35672436992616,9.998754508538536,7.77669865063414,24.8948074171277,15.173528781898002,1.3514760350564765,0.8813086429726649,9.73334395917844,7.422945253271928,8.515891259860643,0.0,33.0,2.0,9.0,1.0,0.0,8.0,2.0,9.0,10.0,7.972648023864281,3.054280000000001,124.89290000000004,1.0,1.0,2.0,1.0,0.0
447.5430000000002,418.3110000000002,447.2382731680001,172.0,16.47749410970943,1046.716369836803,23.683587508058327,19.206900617877263,19.206900617877263,15.836649755057923,10.806162066158398,10.806162066158398,8.780731101140251,8.780731101140251,4.719538692693455,4.719538692693455,2.941348383751225,2.941348383751225,-3.93,25406306.02449405,23.727246959092028,11.08840756962346,7.609730775955006,193.40540201867236,19.937539809604065,29.80692938012112,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,29.531997720943004,31.68004352666438,12.872076480677116,9.53140013787187,11.725042507186531,5.261891554738487,24.835823814639312,5.41499046939678,33.736789627910454,25.0131833803444,66.13462654484412,11.81873314607618,15.370440161812713,5.817862777835028,0.0,45.12260971632255,12.965578028838586,16.74610333692754,42.51705626453761,49.183319063450206,0.0,117.75,0.0,4.794537184071822,17.14657469674821,37.4985306687961,17.857719730893475,6.196843571613076,12.524163646377618,41.09863280604314,46.35672436992616,9.998754508538536,7.709924075793288,24.831306890289856,15.153813540393251,1.389103564390722,0.906494896932276,9.73263830117472,7.456987060294404,8.569731670731482,0.0,33.0,2.0,9.0,1.0,0.0,8.0,2.0,9.0,10.0,7.972648023864281,3.054280000000001,124.89290000000004,1.0,1.0,2.0,1.0,0.0
379.4640000000002,354.2640000000002,379.20082504,146.0,16.46530905139103,827.3570823519775,19.76937394568524,16.07198645087119,16.07198645087119,13.690203145651198,9.641443498024625,9.641443498024625,6.9043957112312695,6.9043957112312695,4.912780494467473,4.912780494467473,3.395725647648151,3.395725647648151,-3.140000000000001,2663012.224421685,19.616882298052445,9.696216879859676,5.1940776808158615,164.70369677052292,15.37044016181271,23.200047415608203,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,31.39519900570125,36.958650497398246,18.78344080667361,7.109797541277533,9.53140013787187,11.725042507186531,5.261891554738487,15.284745645900747,0.0,44.56677056670402,18.97134255119644,47.41361932685344,11.81873314607618,15.37044016181271,5.817862777835028,0.0,35.57153154758399,6.4208216229260096,11.33111286753076,53.84995278009579,30.46231184545952,0.0,99.93,0.0,4.794537184071822,17.773425056499395,24.34689229837061,36.99624981668494,12.617665194539086,7.109797541277533,30.334689586638717,20.60153424990708,9.998754508538536,5.222801206127845,20.88733570241687,15.360112680421537,1.4504613234054968,1.053289559066075,9.979370584644023,7.767358424805917,0.4810227702191989,1.631581082226366,28.0,2.0,7.0,1.0,0.0,6.0,2.0,7.0,7.0,6.793198045307021,3.073980000000001,106.27390000000004,1.0,1.0,2.0,1.0,0.0
349.4380000000003,326.2540000000001,349.19026035600007,134.0,16.149273384026205,754.3704742966937,18.192023676495616,14.741088429596957,14.741088429596957,12.75835149307306,9.118387459805868,9.118387459805868,6.538465251099501,6.538465251099501,4.621455900366448,4.621455900366448,3.2124346063772,3.2124346063772,-2.9400000000000004,1091722.758176752,17.869326570739403,8.951927233441259,4.790509298922874,153.2252094266194,10.633577208012662,17.450535582324296,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,49.59430021108608,24.825916360475023,18.78344080667361,0.0,4.794537184071822,11.725042507186531,5.261891554738487,15.284745645900747,0.0,44.56677056670402,11.861545009918906,53.479986395315045,6.069221312792274,10.633577208012662,5.817862777835028,0.0,28.461734006306457,6.4208216229260096,11.33111286753076,53.84995278009579,36.52867891392113,0.0,90.7,0.0,4.794537184071822,11.731584227351432,23.96791150459256,19.26246486877803,31.0227599320881,0.0,36.40105665510033,20.60153424990708,5.261891554738487,0.0,20.77662639979469,15.33240272527558,1.5620996978910937,0.3134596881426794,12.243140109073586,7.905488972414962,0.533449074074074,0.0,26.0,2.0,6.0,1.0,0.0,5.0,2.0,6.0,6.0,6.152496583532983,3.065380000000001,99.72190000000003,1.0,1.0,2.0,1.0,0.0
449.6030000000002,414.3230000000002,449.29030874000006,176.0,16.149285738960756,937.0133235647947,23.84672421487486,20.18792186340416,20.18792186340416,15.730496605175274,11.512911944170256,11.512911944170256,9.883729198463222,9.883729198463222,5.643829838192703,5.643829838192703,3.576620429843992,3.576620429843992,-3.0200000000000005,17874853.831979077,24.619060294485177,11.213854046292203,7.807459165710435,196.56958733900925,15.533486938863138,17.450535582324296,5.824404497999927,5.907179729351506,0.0,9.6944469149223,5.261891554738487,45.03667987291831,30.01038705839397,52.01013841300109,0.0,4.794537184071822,11.725042507186531,5.261891554738487,25.0845651076017,5.41499046939678,33.736789627910454,51.63299902215896,52.97707081855043,6.069221312792274,10.633577208012662,5.817862777835028,0.0,71.99116665109953,12.965578028838586,16.74610333692754,48.0805077562346,30.46231184545952,0.0,97.18,0.0,4.794537184071822,17.146574696748214,24.47082708135717,39.14460365248888,17.32374655500707,0.0,6.069221312792274,82.48570556720355,5.261891554738487,0.0,25.768477970133382,15.242608212558247,2.846438827518714,0.1846690308717713,10.56159401601162,2.154214353640864,12.822839620028011,2.169157969237381,33.0,2.0,8.0,1.0,0.0,7.0,2.0,8.0,8.0,8.365895421188617,2.526179999999999,129.94490000000002,1.0,1.0,2.0,1.0,0.0
435.5760000000002,402.3120000000002,435.2746586760001,170.0,16.14928530959146,938.7340960785534,23.139617433688315,19.480815082217617,19.480815082217617,15.247333357580882,11.066737585310124,11.066737585310124,9.448034408948931,9.448034408948931,5.397770261720397,5.397770261720397,3.474416914653456,3.474416914653456,-3.1800000000000006,11225920.472064978,23.48242581635176,10.42149264209149,6.658500429223802,190.2046452246126,20.433396669713616,17.450535582324296,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,36.5796697036202,51.15276828177209,0.0,4.794537184071822,17.412428781870098,5.261891554738487,20.184655376751223,5.41499046939678,27.19203322199788,56.53290875300944,47.41361932685344,6.069221312792274,15.533486938863138,11.50524905251859,0.0,67.09125692024905,6.4208216229260096,16.74610333692754,42.517056264537615,30.46231184545952,0.0,97.18,0.0,4.794537184071822,17.146574696748214,24.47082708135717,32.59984724657631,17.447681337993636,0.0,6.069221312792274,82.48570556720355,5.261891554738487,0.0,25.718102171590715,15.264510476098454,2.763631909530946,0.1813340159870202,10.451196952034064,2.1479046954461816,11.571134914536591,2.1521848647760358,32.0,2.0,8.0,1.0,0.0,7.0,2.0,8.0,7.0,7.647560245736534,2.53058,126.88090000000004,1.0,1.0,2.0,1.0,0.0
450.5870000000002,416.31500000000017,450.274324328,176.0,16.489643670903128,937.0133235647947,23.84672421487486,20.01920004637115,20.01920004637115,15.730496605175274,11.466998242081644,11.466998242081644,9.752245163952091,9.752245163952091,5.510472696427593,5.510472696427593,3.530983909821864,3.530983909821864,-3.18,17874853.831979077,24.462184727811728,11.103618284930093,7.719989438845178,195.9232988983127,20.270349892663187,29.304013803356504,5.824404497999927,5.907179729351506,0.0,4.794537184071822,5.261891554738487,32.903945735995094,49.42131294947221,32.37586919526338,0.0,9.53140013787187,11.725042507186531,5.261891554738487,20.184655376751223,5.41499046939678,46.1376428555982,38.54348621033382,47.41361932685344,11.81873314607618,15.37044016181271,5.817862777835028,0.0,60.1057104961722,6.4208216229260096,16.74610333692754,55.35869951038963,30.46231184545952,0.0,103.17,0.0,4.794537184071822,23.250541084496515,30.891648704283185,37.24411938265807,6.196843571613076,0.0,30.334689586638717,53.320327562506606,9.998754508538536,6.0978318036098464,23.20948933029445,15.203359827297575,1.4468976685393549,1.036714359316673,9.996575119564152,4.483115271865634,9.469080872497155,2.1402690803484923,33.0,2.0,8.0,1.0,0.0,7.0,2.0,8.0,8.0,8.230871564638422,3.251780000000001,128.31790000000004,1.0,1.0,2.0,1.0,0.0
433.55600000000027,402.30800000000016,433.2477752320001,168.0,16.157832767690802,911.498758585044,22.924074484064484,18.727067150943185,18.727067150943185,15.473565548236332,11.09341277895903,11.09341277895903,8.392787177314673,8.392787177314673,5.500467931674373,5.500467931674373,3.796122136978848,3.796122136978848,-3.37,15402793.80342912,23.296416612546896,11.306036834105097,6.315411284360191,189.35195776177144,20.85027554286947,12.586597235060536,5.907179729351506,5.907179729351506,0.0,9.589074368143644,5.261891554738487,38.112942673227685,47.73109892632783,37.42986339003086,6.069221312792274,9.589074368143644,17.501745733386574,5.261891554738487,15.950365812018994,5.917906046161393,26.31013685145522,37.62369176041336,54.09438803938988,17.196124296186266,20.85027554286947,5.687386274683562,0.0,50.57998231741384,4.794537184071822,17.249018913692154,30.626284698076077,48.53093654769288,11.126902983393991,97.26,6.041840829147961,9.589074368143644,24.27702191077698,11.984273114623004,37.30592860704429,5.687386274683562,12.13273413692322,32.04942984909674,45.11574381671592,5.261891554738487,0.0,27.386230335392145,17.382784494053503,3.827273812370609,-0.4186637874644243,17.070942898251232,0.5005103258101474,7.91758858825346,0.0,32.0,3.0,7.0,2.0,1.0,5.0,3.0,7.0,8.0,8.230942010128533,2.54748,126.29260000000006,2.0,2.0,3.0,2.0,0.0
