Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	10000.1	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2cccc(F)c2F)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin K	10000.1	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2ccc(F)cc2)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin K	555.0	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin K	68.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	1.6	Homo sapiens	CCCC[C@H](NC(=O)OCC(C)(C)CC)C(=O)C(=O)Nc1cc[nH]n1
Cathepsin K	9.5	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CSc2nccc(-c3ccc(Cl)cc3)n2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	1900.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)c1cccs1
Cathepsin K	370.0	Homo sapiens	N#CN1Cc2cc3ccccc3nc2C1
Cathepsin K	38.0	Homo sapiens	Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C
Cathepsin K	95.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1cccnc1
Cathepsin K	26.0	Homo sapiens	CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1
Cathepsin K	32.0	Homo sapiens	CCCC[C@H](NC(=O)OC(CCC)CCC)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	1.8	Homo sapiens	CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1
Cathepsin K	40.0	Homo sapiens	N#CN1CCC(NC(=O)OCc2ccccc2)C1
Cathepsin K	38.0	Homo sapiens	O=C(CCc1ccccc1)O[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
Cathepsin K	1000.1	Homo sapiens	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)Cc1ccc(OCc2ccccc2)cc1
Cathepsin K	0.3	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2nccs2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	0.2	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2ccsc2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	0.2	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	0.1	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2ccccc2F)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	83.0	Homo sapiens	CCSC[C@@H](C=O)NC(=O)OC(C)(C)C
Cathepsin K	26.0	Homo sapiens	CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	60.0	Homo sapiens	COc1ccc(NCCNC(=O)[C@H](CC(C)C)Nc2cccc(C3CCCCC3)c2)cc1
