MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BertzCT,Ipc,LabuteASA,PEOE_VSA1,PEOE_VSA6,SMR_VSA1,SMR_VSA5,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,TPSA,EState_VSA1,EState_VSA6,VSA_EState2,HeavyAtomCount,MolMR
690.8859999999999,636.4540000000002,690.410483448,272,1534.9965412104616,66537612115.10731,294.9700327536742,30.571117017616725,51.9700701109812,28.709548874159157,90.890157429675,95.73404228177742,35.13037049708517,65.86542398185415,152.94,47.79608223399786,6.923737199690624,73.17175873056165,50,192.47279999999944
583.5140000000002,564.3620000000002,583.1112797879999,210,1502.5731953283612,528927790.9734529,223.7459438042262,10.216698334856808,24.26546827384644,39.55482445444968,35.46359656922549,42.632384597382185,28.734606577217026,39.29356927178574,116.04999999999998,49.36935438954991,6.069221312792274,21.261182603564613,40,128.609
482.8750000000001,468.7630000000003,482.053957028,166,1248.557891155686,17057286.387034655,185.3536266524484,4.899909730850478,11.600939890232516,21.5890421273534,22.742541645869437,46.505689611476896,16.013551653860976,17.939154115774397,104.77,32.78182217669154,24.52642128014937,8.325385936413861,32,108.12680000000002
578.0160000000001,554.8320000000002,577.116222936,204,1462.2233658068833,409750023.3129776,227.91754593672576,10.216698334856808,42.790145363769575,26.383579311425223,35.58418489172145,49.17714100329475,16.013551653860976,46.57176102594076,116.04999999999998,37.62960438040943,18.20195544971549,21.813866606528872,39,138.19499999999988
540.9990000000001,516.8070000000004,540.1322073480001,192,1244.0922086131422,160222118.1326412,211.7518988235481,9.799819461700956,11.600939890232516,21.5890421273534,41.62602572086942,73.8459810516794,16.013551653860976,30.780797361626416,93.42999999999998,32.78182217669154,12.13273413692322,13.195361594967494,36,127.81280000000004
507.41600000000017,492.2960000000002,507.0799796600001,182,1179.8201393767536,21264307.859757084,188.68884959816216,10.216698334856808,12.13273413692322,39.55482445444968,28.918840163312908,55.35343952073822,16.013551653860976,28.16666628839175,116.04999999999998,68.28327169937496,11.386009916798605,19.9726127759159,34,104.38300000000002
357.4830000000001,334.29900000000004,357.1623313560001,132,725.350373131396,675932.5850138718,151.40163378663522,5.316788604006331,24.97876554119751,4.794537184071822,51.6144425493812,20.9010495684526,12.08368165829592,55.58267756170255,83.60000000000001,5.538925252383345,6.196843571613076,12.72244953073822,25,95.89420000000004
459.5020000000002,434.3020000000003,459.1794209,174,1074.6567104083626,51125581.94067139,196.8205406032378,25.42409171961909,78.86277189000094,23.857337459815565,31.33928641646972,36.21918235867222,27.35364090938262,11.126902983393991,105.76000000000002,30.312002629320716,12.13273413692322,37.64169505873531,34,124.6281
371.5100000000002,346.3100000000002,371.17798142,138,755.3203283428924,1049143.3324959965,157.7665759010318,5.316788604006331,24.97876554119751,4.794537184071822,58.03526417230722,20.9010495684526,5.538925252383345,68.54825559054116,83.6,5.538925252383345,17.802383706448886,12.786782092466616,26,100.60520000000004
482.8750000000001,468.7630000000003,482.053957028,166,1248.557891155686,17057286.387034655,185.38517308404369,9.467009378641832,11.600939890232516,21.5890421273534,22.742541645869437,46.27628303676924,16.013551653860976,17.939154115774397,104.77,32.78182217669154,29.354473934243657,12.264574788078136,32,108.12680000000002
