Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 0.322	Homo sapiens	Cc1ncccc1-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N
Cathepsin S	 0.328	Homo sapiens	CC(C)[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 0.335	Homo sapiens	Fc1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1cc(nc(n1)C#N)C(F)(F)F
Cathepsin S	 0.34	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 0.349	Homo sapiens	Cc1nnnn1-c1ccc(c(c1)C(F)(F)F)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N
Cathepsin S	 0.355	Homo sapiens	FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN2CCC[C@H]2C1
Cathepsin S	 0.365	Homo sapiens	CC(CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccccc1C(F)(F)F)C#N)c1ccc(Cl)cc1
Cathepsin S	 0.367	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1
Cathepsin S	 0.367	Homo sapiens	CC[C@H](C)[C@H](N(C)C)C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C)C(OC)=CC1=O
Cathepsin S	 0.375	Homo sapiens	Cn1cc(cn1)-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N
Cathepsin S	 0.377	Homo sapiens	CC(C)(C)OC(=O)N1CCC1(C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(F)cc1Cl)c1ncc(Cl)cc1F
Cathepsin S	 0.382	Homo sapiens	Cc1ncccc1-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(I)cc1F)C(=O)NC1(CC1)C#N
Cathepsin S	 0.382	Homo sapiens	FC(F)(F)c1cc(ccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N)-n1ccnn1
