MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,NumRadicalElectrons,MinPartialCharge,BCUT2D_MWHI,AvgIpc,BalabanJ,PEOE_VSA11,PEOE_VSA13,PEOE_VSA5,SMR_VSA2,SMR_VSA8,SlogP_VSA9,EState_VSA11,EState_VSA4,EState_VSA5,EState_VSA8,VSA_EState4,NumUnspecifiedAtomStereoCenters,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_C_S,fr_HOCCN,fr_N_O,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_allylic_oxid,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzodiazepine,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_furan,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_lactam,fr_lactone,fr_morpholine,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phos_acid,fr_piperdine,fr_piperzine,fr_prisulfonamd,fr_quatN,fr_term_acetylene,fr_thiocyan,fr_thiophene,fr_urea
13.49547148693594,0.0151994085477964,-1.3333912734933244,0.0825136871565194,0,-0.481158417093958,16.36900297340855,2.9124855382837724,5.603986578501097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,26.58394302003165,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.347666934959612,0.0164524044412708,-1.5677753462480437,0.0602122518839877,0,-0.4674802450912301,16.548425893635336,3.8816833306064087,1.4999459633248318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.026812714244468,37.92869816802349,21.267154416025324,7.672984824438962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.275930495962932,0.0217985794620683,-1.5605683543947608,0.0783185125880386,0,-0.4674802450912301,16.567293476986606,3.807371890134884,1.8368260242061945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.463361222547473,37.92869816802349,21.267154416025324,6.066453361046469,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.35076784198909,0.0010055067704273,-1.5826208984395085,0.0541176113872297,0,-0.507966645155588,16.54845910552681,3.8857944607238384,1.506062020703486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.463361222547473,50.06143230494671,21.267154416025324,7.503226129795787,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.48280523011674,0.0623021460395196,-0.4111324221046437,0.3735855678013652,0,-0.5071205723750702,16.256788801350428,2.683434374930204,1.8071349325974009,0.0,5.907179729351506,0.0,0.0,0.0,0.0,0.0,38.620139122239664,6.06636706846161,17.775319993911392,10.746177993299655,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
12.959429621838533,0.0964807678233492,-1.092220208943694,0.4515561239304482,0,-0.3904393243577518,16.270576060006135,2.906577249701099,1.7258427046052476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.86082965818265,19.26246486877803,22.016732880480603,0.9753839378091173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.866605966366029,0.1735234285728446,-1.3912018863987723,0.0989208823317409,0,-0.4438235681151758,32.16636617666191,3.1127221321135616,2.247060483968934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.762552697081823,11.761884949391115,26.58394302003165,0.2533346750650858,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.076032561257476,0.1127561516586383,-1.3143404807974612,0.089763292891269,0,-0.4928423592371936,79.9187317468693,3.4621473577344406,1.2672634181463782,11.49902366656781,17.721539188054518,0.0,0.0,0.0,0.0,0.0,16.02681271424447,25.185871881867158,21.24673250195568,2.2407927185153147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.830072149913004,0.0286857479574824,-0.7678081695641221,0.1902093845101488,0,-0.4707363186165668,16.513646970681084,2.8970559823396216,1.5004219655215487,0.0,0.0,13.157871367196996,0.0,0.0,0.0,0.0,62.49347596680208,11.126902983393991,68.82812844812797,4.502471668603177,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.287250411088932,0.0031867024516043,-0.7627964642647187,0.4222184510515303,0,-0.4874460098051263,16.503647995561867,2.8956101505577725,1.7457149536086922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83789306253696,18.40509473754901,63.45136441185061,2.0641100759697872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
