Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	 1400	Homo sapiens	O=C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1
Cathepsin B	1400.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	1400.0	Homo sapiens	CSc1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(C)C)C(=O)NCC#N)C(F)(F)F
Cathepsin B	1400.0	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1
Cathepsin B	1420.0	Homo sapiens	Fc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N
Cathepsin B	1424.0	Homo sapiens	COc1ccc(cc1O)C(=NNC(N)=S)c1cc(OC)c(OC)c(OC)c1
Cathepsin B	1440.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1ccccc1
Cathepsin B	1440.0	Homo sapiens	COc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N
Cathepsin B	1500.0	Homo sapiens	O=S(=O)(NCC1CCN(C1)C#N)c1ccccc1
Cathepsin B	1500.0	Homo sapiens	CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C=O
Cathepsin B	1528.0	Homo sapiens	CS(=O)(=O)c1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(Cl)Cl)C(=O)NC(C#N)(C1CC1)C1CC1)C(F)(F)F
Cathepsin B	1530.0	Homo sapiens	CC(=O)c1c(O)c2c(Cl)ccc(Br)c2nc1Nc1ccc(Cl)cc1
Cathepsin B	1535.0	Homo sapiens	CCCCS(=O)(=O)C[C@@H](NC(=O)COC)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1
Cathepsin B	1537.0	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)N(C)C1CC1
Cathepsin B	1561.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F)C(=O)NCC#N
Cathepsin B	1584.89	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2ccccc2s1
Cathepsin B	1584.89	Homo sapiens	Brc1ccc(Br)c(c1)S(=O)(=O)N[C@@H]1CCN(C1)C#N
Cathepsin B	1590.0	Homo sapiens	NC(=S)NN=C(c1cccc(Br)c1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
Cathepsin B	1600.0	Homo sapiens	CC(=O)Oc1cccc(c1)C(=NNC(N)=S)c1cccc(Br)c1
Cathepsin B	1600.0	Homo sapiens	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc1ccccc1)NC(C)=O)\C=C\S(C)(=O)=O
Cathepsin B	1605.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccccc1)C(F)(F)F)C(=O)NCC#N
Cathepsin B	1639.48	Homo sapiens	Nc1sc(=S)c2CN(Cc3ccccc3)CCc2c1C#N
