Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	0.25	Homo sapiens	CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccc(Br)cc1)C=O	3
Cathepsin K	15.0	Homo sapiens	Fc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	15.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1-c1ccccc1	2
Cathepsin K	15.0	Homo sapiens	CC(C)(C)OC(=O)N[C@@H](CCCc1ccccc1)C=O	2
Cathepsin K	15.0	Homo sapiens	COC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C=O	2
Cathepsin K	15.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1ccccc1	2
Cathepsin K	15.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCC1	2
Cathepsin K	15.0	Homo sapiens	O=C(NCCc1ccccc1)c1cnc(nc1NCC1CCCCC1)C#N	2
Cathepsin K	15.0	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1CN(CC1=O)C(=O)NCc1ccccc1	2
Cathepsin K	15.0	Homo sapiens	N#Cc1ncc2cc(Cc3ccccc3)n(C3CCCCC3)c2n1	2
Cathepsin K	15.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)Nc1c(C)noc1C)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	15.14	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(CC1(C)C)C(=O)c1c(C)noc1C)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	15.85	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2cnccc2s1	2
Cathepsin K	15.85	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc(cs1)-c1ccccc1	2
Cathepsin K	16.0	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1CCCN(CC1=O)S(C)(=O)=O	2
Cathepsin K	16.0	Homo sapiens	O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H](NC1=O)Oc1ccccc1)OCc1ccccc1	2
Cathepsin K	16.0	Homo sapiens	O=C(NCC1CN(C1)C#N)C1CCCCC1	2
Cathepsin K	16.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC(C#N)(C1CCC1)C1CCC1	2
