Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin B	5.3	Homo sapiens	Cc1cccc(C[C@H](Nc2ccc3CCC(=O)c3c2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	5.6	Homo sapiens	Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)N[C@@H](CC#Cc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	5.7	Homo sapiens	CN1CCN(CC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C=CS(=O)(=O)c1ccccc1	2
Cathepsin B	6.5	Homo sapiens	Cc1cccc(C[C@H](Nc2ccc3COC(=O)c3c2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	6.8	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	7.3	Homo sapiens	CC[C@H](C)[C@H](N(C)C)C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C)C(OC)=CC1=O	2
Cathepsin B	8.0	Homo sapiens	CC(C)CO[C@H]1CCN2C[C@H]1OC2=O	2
Cathepsin B	8.6	Homo sapiens	COC(=O)c1cccc(N[C@@H](Cc2cccc(C)c2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	8.7	Homo sapiens	Cc1cccc(C[C@H](Nc2ccccc2)C(=O)N[C@@H](COCc2ccc(Cl)c(c2)C(O)=O)C#N)c1	2
Cathepsin B	9.0	Homo sapiens	C[C@@H](OCc1ccccc1)[C@H](NC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1cccc(c1)-c1cccnc1)C#N	2
Cathepsin B	9.0	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)N[C@@H](Cc1ccc(cc1F)C#N)C#N	2
Cathepsin B	9.3	Homo sapiens	CN1Cc2ccc(N[C@@H](Cc3cccc(C)c3)C(=O)N[C@@H](COCc3cccc(c3)C(O)=O)C#N)cc2C1=O	2
Cathepsin B	9.4	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)N[C@@H](COCc2cccc(c2)C(O)=O)C#N)c1	2
Cathepsin B	9.4	Homo sapiens	CC(C)C[C@H](NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O	2
Cathepsin B	9.9	Homo sapiens	CCCCC(=O)N[C@@H](Cc1cccc(C)c1)C(=O)N[C@@H](COCc1cccc(c1)C(O)=O)C#N	2
Cathepsin B	10.2	Homo sapiens	Cc1cccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)N[C@@H](COCc2ccccc2)C#N)c1	2
Cathepsin B	11.0	Homo sapiens	CC(C)C(NC(=O)OCc1ccccc1)C(=O)N1CCCCN1C#N	2
Cathepsin B	1000.1	Homo sapiens	CC(C)C[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C=O	0
Cathepsin B	1000.1	Homo sapiens	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCc1ccccc1	0
Cathepsin B	1000.1	Homo sapiens	O=C[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCc1ccccc1	0
Cathepsin B	1000.1	Homo sapiens	O=C[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNS(=O)(=O)c1cccc2ccccc12	0
Cathepsin B	1000.1	Homo sapiens	Ic1ccc(C[C@H](NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)cc1	0
