Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	300000.1	'>'	Homo sapiens	CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(=O)NCc1ccccc1
Cathepsin B	500.0	'='	Homo sapiens	N#CN1CC(OCC2CCCCC2)C1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C1\CCCc2c(O)cccc21
Cathepsin B	3300.1	'>'	Homo sapiens	CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
Cathepsin B	3000.0	'='	Homo sapiens	CCCCC(=O)N[C@@H](Cc1cccc(C)c1)C(=O)NCC#N
Cathepsin B	3329.0	'='	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(-c3ccncc3)cc2)c1
Cathepsin B	26.0	'='	Homo sapiens	CC(C)C[C@H](Nc1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(=O)NCC#N
Cathepsin B	3981.07	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccncc4s3)CC2)CC1
Cathepsin B	1900.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Oc1ccc(F)cc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O
Cathepsin B	180.0	'='	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccc(F)cc2F)C(=O)N[C@H](C#N)COCc2cccc(C(=O)O)c2)c1
Cathepsin B	2600.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)NN=C(c1ccc(Br)cc1)c1ccc(Br)cc1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1ccccc1)c1cccc(C(=O)c2ccccc2)c1
Cathepsin B	100000.1	'>'	Homo sapiens	COc1ccc(C(=O)NCC(=O)NC/C=C/S(C)(=O)=O)cc1C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1
Cathepsin B	25118.96	'>'	Homo sapiens	COc1ccc(OC)c(S(=O)(=O)N[C@@H]2C[C@H](C)N(C#N)C2)c1
Cathepsin B	496.0	'='	Homo sapiens	N#CCNC(=O)[C@H](Cc1ccccc1)NC(=O)C(c1ccccc1)c1ccccc1
Cathepsin B	5000.1	'>'	Homo sapiens	CCCC[C@H](NC(=O)OCC(C)(C)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	1812.0	'='	Homo sapiens	CC(C)C[C@H](Nc1ccccc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N
Cathepsin B	30000.1	'>'	Homo sapiens	CCC(C)CNc1nc(C#N)nc2c1ncn2C1CCCC1
Cathepsin B	30000.1	'>'	Homo sapiens	COc1ccc(Cn2cnc3c(NCc4ccccc4)nc(C#N)nc32)cc1
