MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BertzCT,Ipc,LabuteASA,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA7,SlogP_VSA2,SlogP_VSA3,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,VSA_EState1,HeavyAtomCount,MolMR
783.0269999999999,720.531,782.473083704,308,1835.3072419134508,1614183608337.3943,337.39790022766414,74.72561864739819,28.709548874159157,40.43882357883859,95.9082753633194,95.7340422817774,41.55119212001117,84.7813723799254,152.94,53.837923063145816,23.97268592035911,5.577481648444511,57,223.65379999999925
452.5550000000002,420.29900000000026,452.2423555040001,176,943.386897295254,43440812.98232493,192.81025666092947,37.31310505186264,19.178148736287287,34.91062464326513,36.02576333715651,47.62011629633977,14.383611552215466,30.33183534230805,120.16,12.08368165829592,19.178148736287287,0.0,33,124.47330000000004
730.9509999999996,672.4870000000001,730.441783576,288,1614.431107193289,469437816512.10925,313.0590279433349,76.2098391383784,28.709548874159157,40.43882357883859,60.01298852931433,95.73404228177742,35.13037049708517,54.44953703761733,152.94,35.981722775294855,23.97268592035911,5.51390547369244,53,204.20979999999932
690.8859999999999,636.4540000000002,690.410483448,272,1534.9965412104616,66537612115.10731,294.9700327536742,76.2098391383784,28.709548874159157,40.43882357883859,60.01298852931433,95.73404228177742,35.13037049708517,54.44953703761733,152.94,47.79608223399786,23.97268592035911,5.492559420862651,50,192.47279999999944
451.6080000000002,410.2800000000002,451.304621412,182,597.5278502336548,10474615.00236426,191.53047753239915,56.78156345280486,23.915011690087333,24.193760052770983,0.0,48.92616450472778,19.120474506015512,0.0,113.6,24.08410145858584,19.178148736287287,5.606834348128089,32,121.85910000000008
445.5070000000002,412.24300000000017,445.238827596,176,605.9495684877127,4965506.841178007,180.7667219950618,43.939920206952834,32.695841785436976,24.193760052770983,0.0,55.35160924958696,19.120474506015512,0.0,113.6,30.00663062668042,27.958978831636927,31.628057934449004,31,108.36010000000006
247.29399999999995,230.15799999999996,247.120843404,96,468.9266964125668,19261.02076988808,106.48772395687224,31.040744451236847,14.26826309167192,6.093240070938415,29.32600418877882,36.29059538911065,4.736862953800049,18.19910120538483,38.77,0.0,4.794537184071822,11.343708900226758,18,66.79100000000004
314.38200000000006,288.17400000000004,314.184171932,126,396.2613730712553,69631.47186875598,130.33467912490312,24.6774553381748,24.22700190085622,17.78366474665486,0.0,47.6847221520527,19.120474506015515,0.0,108.03,30.12625862194792,14.383611552215466,4.795112580921564,22,80.14720000000005
575.6650000000003,542.4010000000003,575.242021156,218,1507.1740303443614,3661062207.824661,250.50169832657076,41.31027730340183,24.22700190085622,17.78366474665486,142.575316182491,41.580755764304406,27.35364090938262,109.19460723230902,128.52,29.878072721760667,24.752030501794657,5.639608286470521,43,162.14169999999967
233.267,218.147,233.10519334,90,389.7591542968489,14904.332659033504,100.12278184247566,11.984273114623004,14.26826309167192,6.093240070938415,35.89528683400505,36.29059538911065,16.080607872113017,30.33183534230805,38.77,0.0,4.794537184071822,11.091895786092214,17,61.47800000000005
