Ligand SMILES	Potency
CC(C)(C)Cc1cnc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@@H]3Cc4cccc(CCCCCCC(=O)N3)c4)c2c1	2
CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc12	2
CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccc(F)cc2)NC(=O)CCCCCCCCCCCNC1=O	2
CS(=O)(=O)N(c1ccccc1)c1cccc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CCCCC1	1
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)cc2	1
CC(C)(C)CCNC(=O)CCc1cc2cc(ccc2nc1N)-c1ccccc1C#CC1CC(C1)NC(=O)c1ccc(F)cc1	1
CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1)N1CCCCC1	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CC1)c1cn(CC(C)(C)C)nn1	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc3OCOc3c2)cc1OC	1
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC\C=C\CS[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@@H]2CCN(C2=O)c2cccc(Cl)c2)cc1OC	1
CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)COc1cccc2ccccc12)C(C)C)C(=O)N[C@@H](C(C)C)C(=O)OC	1
COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(F)c(F)c2)ccc1F	1
Clc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(cc2)-c2nnn[nH]2)cc1	1
OC(=O)C(F)(F)F.CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1	1
CC(C)CCCC(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(c1)N(c1ccccc1)S(C)(=O)=O	1
CCCc1c(O)c(ccc1OCc1ccc(C=C2SC(S)=NC2=O)cc1)C(=O)c1ccccc1	1
CCCc1c(O)c(ccc1COc1ccc(C=C2SC(S)=NC2=O)cc1)C(=O)c1ccccc1	1
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1cc(F)cc(F)c1)NC(=O)c1cc(cc(c1)C(=O)N[C@H](C)c1ccccc1)N(C)S(C)(=O)=O)C(=O)NCc1ccccc1	1
COc1cccc2CC(Cc12)NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(CCc2nc(N)ncc2C1)c1cccc(c1)C(C)(C)C	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NC2CCCCC2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NC2CCC(C)CC2)cc1OC	1
CNS(=O)(=O)c1ccccc1CNC(=O)[C@@H](Cc1ccccc1)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
CCCN(CCC)C(=O)c1cc(C)cc(c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC(C)(C)c1cccc(OC)c1	1
OC(=O)C(F)(F)F.COc1ccc(CC(=O)NC(=N)N[C@@H](C(=O)Nc2cc(ccc2C)S(N)(=O)=O)C(C)(C)C)cc1OC	1
C[C@H]1C[C@H](CCO1)N1C(=O)C[C@](C)(NC1=N)c1cccc(Nc2cnc(nc2)C2CC2)c1Cl	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CC1)c1cccc(c1)C(C)(C)C	1
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1ccc(Oc2ccc(cc2)C(=O)NCCCNc2ccnc3cc(Cl)ccc23)cc1)[C@@H](C)CC	1
COc1cccc(c1)C(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(cc(c1)C(=O)NCc1ccccc1)N1CCCCC1	1
NC1=Nc2cc(ccc2CN1C1Cc2ccccc2C1)C(=O)N1CCc2ccccc12	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@@H]2CC[C@H](O)CC2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2cccc(c2)-c2nccs2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2cccc(c2)C(F)(F)F)cc1OC	1
OC(=O)C(F)(F)F.COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2F)C(=O)Nc2cc(ccc2C)S(N)(=O)=O)cc1OC	1
CCc1csc(c1)C1(CCCCC1)NC[C@@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(C)=O	1
Cc1ccc(CCN(CC(O)[C@@H](NC(=O)COc2cc(Cl)c(Cl)cc2Cl)c2ccccc2)C(=O)CCN2C(=O)c3ccccc3C2=O)cc1	1
COc1cc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(F)c(OC)c2)ccc1F	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCC(C)C)cc1F	1
CC(C)CNC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccccc1Br	1
CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(c3)C(C)(C)C)[C@H]2O)cc(F)c1N)C(F)(F)F	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCOCC1)c1cccc(c1)C(C)(C)C	1
CCc1cccc(CC)c1NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C	1
CCc1ccc2OC3(CCC3)C[C@H](NC[C@@H](O)[C@@H]3Cc4cccc(CCCCCC(=O)N3)c4)c2c1	1
COc1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]1Cc2cccc(OCCCCN(CCC(F)(F)F)C(=O)c3cccc(c3)C(=O)N1)c2	1
COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)CCc2ccccc2)ccc1F	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NC2CCC(CC2)C(C)(C)C)cc1OC	1
CC[C@H](C)CNC(=O)[C@@H](Cc1ccccc1)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
Fc1cc(F)c(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(F)c(c2)C(F)(F)F)c(F)c1	1
COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccccn2)ccc1F	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCc2ccc(cc2)-c2csnn2)cc1OC	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2cccc(c2)-c2ccn(C)n2)cc1OC	1
CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC[C@@H](C1)C(C)(C)NC(C)=O	1
COc1cc(Br)c(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2cccc(c2)-c2nnn[nH]2)cc1OC	1
