Ligand SMILES	Potency
Fc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
N#CN1CCC(COCc2ccccc2)C1	0
CS(=O)(=O)C[C@H](N[C@@H](c1ccc(F)cc1)C(F)(F)F)C(=O)NC1(CC1)C#N	0
Oc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc(cc3)-c3ccccc3)C(=O)NC3(CC3)C#N)c2c1	0
CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)N1CCNCC1)C(F)(F)F)C(=O)NCC#N	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)N1CCNCC1)C(F)(F)F)C(=O)NCC#N	0
CCOC(=O)\C=C\[C@@H](O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1	0
COc1cc(ccc1C1CC1)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccsc1)C(F)(F)F)C(=O)NCC#N	0
COc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2cccs2)cc1N	0
CS(=O)(=O)c1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N	0
Cn1c2cn(c(-c3ccccc3)c2c(=O)n(C)c1=O)-n1cnnc1	0
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Br)cc1F)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	0
CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccccc1N1CCNCC1	0
O=C(N[C@@H]1CCN(C1)C#N)Nc1ccccc1	0
Nc1cc(OC(=O)c2ccco2)nn1S(=O)(=O)c1ccc(F)cc1	0
CCCCS(=O)(=O)C[C@@H](NC(=O)c1ccncc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1	0
COc1ccc(cc1OC)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N	0
NCCCC[C@H](NC(=O)c1ccc(cc1)-c1ccccc1)C(=O)NC1(CC1)C#N	0
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1c1cc(C)nn1C1CCC1)S(=O)(=O)c1ccc(Br)cc1C(F)(F)F)C(=O)C(=O)NC1CC1	0
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO	0
CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C=O	0
O=C(N[C@@H](Cc1cccnc1)C(=O)N[C@H]1[C@H]2N(CCS2(=O)=O)C1=O)OCc1ccccc1	0
Fc1ccc(cc1)[C@H](N[C@@H](CS(=O)(=O)Cc1cccc(F)c1F)C(=O)NC1(CC1)C#N)C(F)(F)F	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(C)cc1)C(F)(F)F)C(=O)NCC#N	0
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C=O	0
CC(C)C[C@@H](NC(=O)N1CCOCC1)C(=O)N[C@H](CCc1ccccc1)C=CS(=O)(=O)c1ccccc1	0
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1cccc(Cl)c1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S([O-])(=O)=O	0
CCC(C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C=O	0
O=S(=O)(NC1CCN(C1)C#N)c1ccccc1	0
O=C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccccc1	0
CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	0
CSc1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(C)C)C(=O)NCC#N)C(F)(F)F	0
Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccccc1	0
Fc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NCC#N	0
COc1ccc(cc1O)C(=NNC(N)=S)c1cc(OC)c(OC)c(OC)c1	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1ccccc1	0
COc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
O=S(=O)(NCC1CCN(C1)C#N)c1ccccc1	0
CC[C@@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C=O	0
CS(=O)(=O)c1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(Cl)Cl)C(=O)NC(C#N)(C1CC1)C1CC1)C(F)(F)F	0
CC(=O)c1c(O)c2c(Cl)ccc(Br)c2nc1Nc1ccc(Cl)cc1	0
CCCCS(=O)(=O)C[C@@H](NC(=O)COC)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNCc1cccc(CC)c1	0
CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)N(C)C1CC1	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F)C(=O)NCC#N	0
O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2ccccc2s1	0
Brc1ccc(Br)c(c1)S(=O)(=O)N[C@@H]1CCN(C1)C#N	0
NC(=S)NN=C(c1cccc(Br)c1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F	0
CC(=O)Oc1cccc(c1)C(=NNC(N)=S)c1cccc(Br)c1	0
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCc1ccccc1)NC(C)=O)\C=C\S(C)(=O)=O	0
CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccccc1)C(F)(F)F)C(=O)NCC#N	0
Nc1sc(=S)c2CN(Cc3ccccc3)CCc2c1C#N	0
CC(=O)c1c(Nc2ccc(Br)cc2)nc2c(Br)ccc(Br)c2c1O	0
COc1ccc(cc1)-c1ccc(cc1)[C@H](N[C@@H](CC(C)C)C(=O)NCC#N)C(F)(F)F	0
Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccc(F)cc1	0
COc1ccc(nc1OC)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	0
NC(=S)NN=C(C=Cc1ccccc1)c1cccc(c1)C(F)(F)F	0
Fc1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1	0
[O-][N+](=O)c1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1	0
CC(C)C[C@H](NC(=O)c1ccc(cc1)-c1ccccc1)C(=O)NC1(CC1)C#N	0
CC(C)CC(C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCOCC1	0
Cc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2ccco2)cc1N	0
CC(=O)c1c(O)c2c(C)ccc(Cl)c2nc1Nc1ccc(Br)cc1Br	0
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@H]1[C@H]2OCCN2C1=O)OCc1ccccc1	0
