Ligand SMILES	Potency
FC(F)(F)c1ccccc1S(=O)(=O)[C@H]1CCN(C1)c1nc(nc2CCCc12)C#N	3
CCCC[C@H](NC(=O)O[C@H](Cn1ccc(n1)-c1ccc(cc1)C(F)(F)F)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1	3
COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C	3
COc1cccc(CCNC(=O)c2cnc(nc2NC2CCCCC2)C#N)c1	3
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	3
Clc1cccc(c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)N1CCCCC1)C(=O)NC1(CC1)C#N	3
FC(F)(F)[C@@H](N[C@@H](CS(=O)(=O)c1ccc(Br)cc1)C(=O)NC1(CC1)C#N)c1ccccc1	3
CCCC[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c1ccsc1)[C@H]1CC[C@H](C)CC1	3
Clc1ccccc1S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)N1CCSCC1)C(=O)NC1(CC1)C#N	3
Fc1cccc(CS(=O)(=O)C[C@H](N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NC2(CC2)C#N)c1F	3
Fc1ccc(cc1)[C@H](N[C@@H](CS(=O)(=O)Cc1cccc(F)c1F)C(=O)NC1(CC1)C#N)C(F)(F)F	3
COC1=CC(=O)N([C@H]1Cc1c[nH]c2ccccc12)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1CCCCC1)NC(=O)C1CCN(C)CC1	3
FC(F)(F)c1ccccc1S(=O)(=O)[C@H]1CCN(C1)c1nc(ncc1C(=O)NCC1(CC1)c1ccc(Cl)cc1)C#N	3
FC(F)(F)c1ccccc1S(=O)(=O)[C@H]1CCN(C1)c1ccnc(n1)C#N	3
FC(F)(F)CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1cccc(Cl)c1Cl)C#N	3
Cc1ncccc1-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N	3
CC(C)[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	3
Fc1ccc(c(Cl)c1)S(=O)(=O)[C@H]1CCN(C1)c1cc(nc(n1)C#N)C(F)(F)F	3
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1Cl)C(=O)C(=O)NC1CC1	3
Cc1nnnn1-c1ccc(c(c1)C(F)(F)F)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N	3
FC(F)(F)c1cc(nc(n1)C#N)N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN2CCC[C@H]2C1	3
CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	3
CC[C@H](C)[C@H](N(C)C)C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)\C=C\C(=O)N1[C@@H](C)C(OC)=CC1=O	3
Cn1cc(cn1)-c1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N	3
CC(C)(C)OC(=O)N1CCC1(C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(F)cc1Cl)c1ncc(Cl)cc1F	3
